frame,time_s,x_m,y_m,q1_rad,q1_deg,q2_raw_rad,q2_raw_deg
0,0.000000,0.000000,0.000000,-1.027000,-58.842766,-2.557000,-146.505308
1,0.016667,0.000070,0.000070,-1.024253,-58.685387,-2.554360,-146.354059
2,0.033333,0.000535,0.000535,-1.007265,-57.712055,-2.538034,-145.418637
3,0.050000,0.001712,0.001712,-0.967516,-55.434593,-2.499833,-143.229878
4,0.066667,0.003843,0.003843,-0.901841,-51.671678,-2.436716,-139.613523
5,0.083333,0.007099,0.007099,-0.811457,-46.493049,-2.349852,-134.636594
6,0.100000,0.011584,0.011584,-0.700989,-40.163718,-2.243687,-128.553780
7,0.116667,0.017345,0.017345,-0.577498,-33.088173,-2.125005,-121.753816
8,0.133333,0.024374,0.024374,-0.449502,-25.754592,-2.001995,-114.705866
9,0.150000,0.032616,0.032616,-0.326011,-18.679047,-1.883313,-107.905902
10,0.166667,0.041975,0.041975,-0.215543,-12.349716,-1.777148,-101.823088
11,0.183333,0.052320,0.052320,-0.125159,-7.171088,-1.690284,-96.846159
12,0.200000,0.063488,0.063488,-0.059484,-3.408173,-1.627167,-93.229804
13,0.216667,0.075295,0.075295,-0.019735,-1.130711,-1.588966,-91.041045
14,0.233333,0.087537,0.087537,-0.002747,-0.157379,-1.572640,-90.105623
15,0.250000,0.100000,0.100000,0.000000,0.000000,-1.570000,-89.954374
16,0.266667,0.112463,0.112463,0.000000,0.000000,-1.568600,-89.874177
17,0.283333,0.124705,0.124705,0.000000,0.000000,-1.559944,-89.378192
18,0.300000,0.136512,0.136512,0.000000,0.000000,-1.539689,-88.217655
19,0.316667,0.147680,0.147680,0.000000,0.000000,-1.506222,-86.300168
20,0.333333,0.158025,0.158025,0.000000,0.000000,-1.460165,-83.661269
21,0.350000,0.167384,0.167384,0.000000,0.000000,-1.403873,-80.436002
22,0.366667,0.175626,0.175626,0.000000,0.000000,-1.340945,-76.830482
23,0.383333,0.182655,0.182655,0.000000,0.000000,-1.275722,-73.093474
24,0.400000,0.188416,0.188416,0.000000,0.000000,-1.212794,-69.487955
25,0.416667,0.192901,0.192901,0.000000,0.000000,-1.156502,-66.262687
26,0.433333,0.196157,0.196157,0.000000,0.000000,-1.110445,-63.623788
27,0.450000,0.198288,0.198288,0.000000,0.000000,-1.076978,-61.706302
28,0.466667,0.199465,0.199465,0.000000,0.000000,-1.056723,-60.545764
29,0.483333,0.199930,0.199930,0.000000,0.000000,-1.048066,-60.049779
30,0.500000,0.200000,0.200000,0.000000,0.000000,-1.046667,-59.969583
