frame,time_s,x_m,q1_rad,q1_deg,q2_raw_rad,q2_raw_deg
0,0,7.54E-06,0.033007771,1.891205985,-1.504572608,-86.2056604
1,0.016666667,-0.000497909,0.066374054,3.80295318,-1.43785794,-82.3831915
2,0.033333333,-0.001283737,0.099740872,5.714731036,-1.371143736,-78.56074918
3,0.05,-0.002348037,0.13310847,7.626553565,-1.304428896,-74.73827042
4,0.066666667,-0.003688903,0.166477149,9.538438001,-1.237711632,-70.91565279
5,0.083333333,-0.005308242,0.199845078,11.45027952,-1.170996712,-67.09316945
6,0.1,-0.007204147,0.233213867,13.36217029,-1.104281163,-63.27065003
7,0.116666667,-0.009378524,0.266582798,15.27406921,-1.037566303,-59.44817014
8,0.133333333,-0.011831375,0.299950804,17.18591515,-0.970853768,-55.62582343
9,0.15,-0.014560791,0.333319313,19.09778988,-0.904141214,-51.80347566
10,0.166666667,-0.017568679,0.366688201,21.00968629,-0.837429139,-47.98115528
11,0.183333333,-0.020851226,0.400057062,22.92158121,-0.7707174,-44.15885422
12,0.2,-0.024414154,0.433425051,24.83342614,-0.704007477,-40.33665717
13,0.216666667,-0.028623672,0.45741023,26.2076757,-0.650491621,-37.27042451
14,0.233333333,-0.035133453,0.443673111,25.42059673,-0.643754954,-36.8844419
15,0.25,-0.041751953,0.429677313,24.61869657,-0.637009619,-36.4979627
16,0.266666667,-0.043863388,0.452595599,25.93181766,-0.648069373,-37.13163989
17,0.283333333,-0.050020309,0.439233455,25.16622321,-0.641593031,-36.76057286
18,0.3,-0.056930633,0.424585933,24.32698202,-0.634596699,-36.35971256
19,0.316666667,-0.063938232,0.409704708,23.47435061,-0.627618532,-35.95989302
20,0.333333333,-0.071041198,0.394551614,22.60614226,-0.62068429,-35.56259023
21,0.35,-0.07427034,0.417695554,23.93219235,-0.631295886,-36.17058989
22,0.366666667,-0.081148239,0.402937457,23.0866157,-0.624503013,-35.78138695
23,0.383333333,-0.084861846,0.426009411,24.40854126,-0.635225301,-36.39572879
24,0.4,-0.091978164,0.410825984,23.53859501,-0.628133762,-35.98941353
25,0.416666667,-0.099569412,0.394617154,22.60989747,-0.620717952,-35.56451892
26,0.433333333,-0.103981109,0.417760259,23.93589969,-0.63132209,-36.17209128
27,0.45,-0.111482711,0.401743126,23.01818554,-0.623945384,-35.74943716
28,0.466666667,-0.116375061,0.424813632,24.34002819,-0.634653171,-36.36294813
29,0.483333333,-0.124122711,0.408313914,23.39466401,-0.626969304,-35.92269501
30,0.5,-0.129503341,0.431348753,24.71446305,-0.637768973,-36.54147045
31,0.516666667,-0.13748941,0.414310806,23.7382606,-0.629745421,-36.08175479
32,0.533333333,-0.143362136,0.437310274,25.05603303,-0.640627404,-36.70524646
33,0.55,-0.151582809,0.419814754,24.05361356,-0.632328011,-36.2297263
34,0.566666667,-0.157981964,0.442805016,25.37085858,-0.643276405,-36.85702308
35,0.583333333,-0.166427703,0.424812971,24.33999032,-0.634686924,-36.36488208
36,0.6,-0.175100418,0.406353748,23.28235472,-0.626068974,-35.87110987
37,0.616666667,-0.182134719,0.429400953,24.60286231,-0.636826205,-36.48745385
38,0.633333333,-0.190912338,0.410684533,23.53049043,-0.628061921,-35.98529735
39,0.65,-0.198425384,0.433693195,24.8487897,-0.638881679,-36.60522379
40,0.666666667,-0.207418533,0.414535163,23.75111533,-0.629848348,-36.0876521
41,0.683333333,-0.21541986,0.437527859,25.06849972,-0.640730662,-36.71116275
42,0.7,-0.224651428,0.417901921,23.94401634,-0.631419773,-36.17768808
43,0.716666667,-0.233135315,0.440864492,25.25967474,-0.642343838,-36.80359092
44,0.733333333,-0.242580505,0.420774629,24.10861034,-0.632764216,-36.25471902
45,0.75,-0.251556488,0.443723322,25.4234736,-0.64373211,-36.88313303
46,0.766666667,-0.261226745,0.423146334,24.24449905,-0.633905276,-36.32009694
47,0.783333333,-0.270664306,0.446080554,25.55853307,-0.644884889,-36.94918241
48,0.8,-0.280586334,0.425149555,24.35927519,-0.634851627,-36.37431883
49,0.816666667,-0.290496917,0.448074489,25.67277713,-0.645853589,-37.00468481
50,0.833333333,-0.300649734,0.426765928,24.4518865,-0.635620787,-36.41838845
51,0.85,-0.311052414,0.4496905,25.76536772,-0.646650797,-37.05036151
52,0.866666667,-0.321539016,0.427995819,24.5223541,-0.636201011,-36.45163285
53,0.883333333,-0.332410904,0.450897189,25.83450594,-0.647235398,-37.08385665
54,0.9,-0.343294235,0.428894582,24.57384938,-0.636636154,-36.47656469
55,0.916666667,-0.354637237,0.451793035,25.88583414,-0.647671737,-37.10885707
56,0.933333333,-0.36622438,0.43002787,24.63878204,-0.637157088,-36.50641204
57,0.95,-0.378179641,0.452894444,25.94894022,-0.648225185,-37.14056725
58,0.966666667,-0.390325637,0.43115028,24.70309139,-0.637684327,-36.53662061
59,0.983333333,-0.402837844,0.454012719,26.01301266,-0.648769788,-37.17177075
60,1,-0.415540786,0.432259966,24.7666717,-0.638229684,-36.56786727
61,1.016666667,-0.428615661,0.455116789,26.07627121,-0.649318731,-37.20322284
62,1.033333333,-0.441877456,0.433384229,24.83108721,-0.638762186,-36.59837736
63,1.05,-0.455267044,0.456133554,26.13452754,-0.649816008,-37.23171471
64,1.066666667,-0.472656341,0.423326223,24.25480591,-0.715715066,-41.00745263
65,1.083333333,-0.490930648,0.390028496,22.34698672,-0.782336129,-44.82455835
66,1.1,-0.50946817,0.356811477,20.44379172,-0.848823518,-48.63400511
67,1.116666667,-0.528297515,0.323525979,18.53667314,-0.915423669,-52.44991267
68,1.133333333,-0.547411056,0.2902506,16.63013437,-0.982007856,-56.26490562
69,1.15,-0.56680307,0.25698162,14.72396226,-1.048581935,-60.07931933
70,1.166666667,-0.586473556,0.223710369,12.81765995,-1.115158851,-63.89389566
71,1.183333333,-0.606008621,0.190529916,10.91656005,-1.18161384,-67.70148602
72,1.2,-0.625715347,0.157279266,9.011438165,-1.248164508,-71.51455844
73,1.216666667,-0.645687194,0.124025695,7.106148891,-1.314719682,-75.32788905
74,1.233333333,-0.665504547,0.090781121,5.201375117,-1.381266154,-79.14072101
75,1.25,-0.685045333,0.057535649,3.29654985,-1.447812726,-82.95355872
76,1.266666667,-0.704740615,0.024280011,1.391142132,-1.514369315,-86.76697037
77,1.283333333,-0.724712463,-0.008975615,-0.514264833,-1.580924421,-90.58029703
78,1.3,-0.744962783,-0.042233106,-2.419778741,-1.64748207,-94.39376946
79,1.316666667,-0.764951797,-0.009364353,-0.536537884,-1.648060215,-94.4268947
80,1.333333333,-0.786239715,-0.04212899,-2.413813319,-1.714011239,-98.20561002
81,1.35,-0.806339355,-0.009337388,-0.534992909,-1.71467412,-98.24359033
82,1.366666667,-0.827642532,-0.041996036,-2.406195625,-1.780510659,-102.0157461
83,1.383333333,-0.848161789,-0.009328401,-0.534477991,-1.781306108,-102.061322
